id,name_x,latitude_x,longitude_x,free_bikes,empty_slots,name_y,address,latitude_y,longitude_y,rating,review_count,distance_meters,term,bike_station_id
024a3edf037cb411d16acc08a7fcb954,Bay at Strachan,43.26785864558976,-79.8679232597351,10,14,El Grito Mexicano,236 James Street N,43.26260029055808,-79.8662367,5.0,1,600.4376329084778,restaurants,024a3edf037cb411d16acc08a7fcb954
024a3edf037cb411d16acc08a7fcb954,Bay at Strachan,43.26785864558976,-79.8679232597351,10,14,Charred Chicken,244 James Street N,43.2627364,-79.8663839,4.2,121,583.0459379057457,restaurants,024a3edf037cb411d16acc08a7fcb954
024a3edf037cb411d16acc08a7fcb954,Bay at Strachan,43.26785864558976,-79.8679232597351,10,14,Synonym,328 James Street N,43.264596686727,-79.8653724789619,4.7,16,417.39370217568523,restaurants,024a3edf037cb411d16acc08a7fcb954
024a3edf037cb411d16acc08a7fcb954,Bay at Strachan,43.26785864558976,-79.8679232597351,10,14,Harbour Diner,486 James Street N,43.2694,-79.86329,3.6,66,411.0870863078402,restaurants,024a3edf037cb411d16acc08a7fcb954
024a3edf037cb411d16acc08a7fcb954,Bay at Strachan,43.26785864558976,-79.8679232597351,10,14,Shawarma Royale Plus,114 York Blvd,43.260103,-79.872464,5.0,1,934.7697327625488,restaurants,024a3edf037cb411d16acc08a7fcb954
024a3edf037cb411d16acc08a7fcb954,Bay at Strachan,43.26785864558976,-79.8679232597351,10,14,Mesa,255 James Street N,43.26306,-79.86645,4.1,56,545.6792225235715,restaurants,024a3edf037cb411d16acc08a7fcb954
024a3edf037cb411d16acc08a7fcb954,Bay at Strachan,43.26785864558976,-79.8679232597351,10,14,Born and Raised,224 James Street N,43.26235,-79.86626,3.8,27,618.1429753305657,restaurants,024a3edf037cb411d16acc08a7fcb954
024a3edf037cb411d16acc08a7fcb954,Bay at Strachan,43.26785864558976,-79.8679232597351,10,14,The Burnt Tongue,10 Cannon St E,43.2605786,-79.8669351,4.2,95,813.4479944796863,restaurants,024a3edf037cb411d16acc08a7fcb954
024a3edf037cb411d16acc08a7fcb954,Bay at Strachan,43.26785864558976,-79.8679232597351,10,14,Saint James Espresso Bar & Eatery,170 James Street N,43.26098,-79.86693,4.4,62,764.659481259404,restaurants,024a3edf037cb411d16acc08a7fcb954
024a3edf037cb411d16acc08a7fcb954,Bay at Strachan,43.26785864558976,-79.8679232597351,10,14,August 8,1 Wilson Street,43.25943,-79.86708,3.8,130,935.608571445336,restaurants,024a3edf037cb411d16acc08a7fcb954
